$format(new date(), 'yyyyMMdd	HH:mm:ss)	cae42860-9731-42c7-bea5-eb6069addd2a	undefined	undefined	/new-page.html
20220820	12:55:35	fb52a240-1d24-4440-8f99-772fcfeea01e	GET	undefined	/css/style.css
20220820	12:55:44	c3b82348-a363-4695-91ce-1d34e8fb7942	GET	undefined	/subdir/test
20220820	12:56:42	f1f9c650-7f41-4005-b8b8-7908cc6be46b	GET	undefined	/subdir/test
20220820	12:57:45	bf917508-6fe1-452f-a206-0c99552f3b72	GET	undefined	/subdir/test1
20220820	12:57:45	6e4e71ce-e398-45e9-8f53-fb2d0ed072f6	GET	undefined	/subdir/css/style.css
20220820	12:58:38	b44ea023-c924-496f-84d5-bbc4a9c11698	GET	undefined	/subdir/test1
20220820	12:58:38	149ca568-7aa7-4f10-a8a1-bb236d9a6975	GET	undefined	/subdir/css/style.css
20220820	13:05:49	f9f28c13-85d1-48ba-8782-03ab673a9d27	GET	undefined	/index
20220820	13:06:58	3d2c2da3-1d04-4a50-beb2-6481692c1697	GET	undefined	/index
20220820	13:06:58	3e4b0d91-b6af-4d4e-95ec-4093dbb96185	GET	undefined	/css/style.css
20220820	13:07:05	986c03a1-c38d-4494-806c-df69c1c57c2d	GET	undefined	/new-page
20220820	13:07:05	f73d0b26-f9e2-4454-9da7-d28f72c8f02b	GET	undefined	/css/style.css
20220820	13:07:05	d384cab6-5ca1-4b0f-a6ae-50b1c1c88c99	GET	undefined	/img/img1.jpeg
20220820	13:07:09	e012d0eb-4f72-434b-a975-6cfd11eaa36e	GET	undefined	/old-page
20220820	13:07:09	333e32be-78d1-4a7d-b532-639e280c4276	GET	undefined	/new-page.html
20220820	13:07:09	aa304606-8eff-466c-9fe6-d58cb1f84b42	GET	undefined	/css/style.css
20220820	13:07:09	d28b8669-4c86-4d11-9b68-e09a61b0e4d6	GET	undefined	/img/img1.jpeg
20220820	13:09:47	66ab0056-1950-4c73-8219-f31dcc7c2f24	GET	undefined	/css/style.css
